Constituintes Autorizados,CAS,Especificações,Função,Alegações autorizadas e requisitos para uso da alegação,Requisitos de Rotulagem Complementar e outros,Outras Informações
Ácido eicosapentaenóico (EPA) obtido de óleo de alga Schizochytriumsp.,,Para este constituinte foram aprovadas as especificações do fabricante: Nu-Mega Ingredients Pty Ltd - Melbourne - Victoria - Austrália,Fonte de EPA,"1) Alegação: Fonte de Omega 3. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de EPA e DHA atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Os ácidos graxos ômega 3 EPA e DHA auxiliam na redução dos triglicerídeos. Requisitos: A alegação é restrita aos suplementos alimentares que forneçam no mínimo 1.500 mg de EPA e DHA somados na recomendação diária de consumo. Não é permitida a alegação caso o suplemento alimentar possua associação de ingredientes fontes de fitoesterois com ingredientes fontes de ácidos graxos ômega 3.",Não há requisitos adicionais,
Ácido fólico/Ácido N-pteroil-L-glutâmico,59-30-3,"European pharmacopoeia 9.0

FCC",Fonte de Ácido Fólico,"1) Alegação: O ácido fólico auxilia na formação do tubo neural do feto durante a gravidez. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ácido fólico atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B9"" pode ser usado em substituição ao termo ""ácido fólico"" nas alegações.
2) Alegação: O ácido fólico auxilia na síntese de aminoácidos.  Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de ácido fólico atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B9"" pode ser usado em substituição ao termo ""ácido fólico"" nas alegações.
3) Alegação: O ácido fólico auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ácido fólico atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B9"" pode ser usado em substituição ao termo ""ácido fólico"" nas alegações.
4) Alegação: O ácido fólico auxilia no funcionamento do sistema imune. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de ácido fólico atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B9"" pode ser usado em substituição ao termo ""ácido fólico"" nas alegações.
5) Alegação: O ácido fólico auxilia no metabolismo da homocisteína.
Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de ácido fólico atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B9"" pode ser usado em substituição ao termo ""ácido fólico"" nas alegações.
6) Alegação: O ácido fólico auxilia na formação das células vermelhas do sangue. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de ácido fólico atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B9"" pode ser usado em substituição ao termo ""ácido fólico"" nas alegações.
7) Alegação: Fonte de ácido fólico. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de ácido fólico atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B9"" pode ser usado em substituição ao termo ""ácido fólico"" nas alegações.
8) Alegação: Alto conteúdo/Rico em/Alto teor de ácido fólico. Requisitos:   A alegação é restrita aos suplementos alimentares cuja quantidade de ácido fólico corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018. O termo ""vitamina B9"" pode ser usado em substituição ao termo ""ácido fólico"" nas alegações.",Não há requisitos adicionais,
Ácido gama aminobutírico (GABA),,Para este ingrediente foram aprovadas as especificações do proprietário: Bloomage Biotechnology Corporation Limited.,Fonte de ácido gama aminobutírico (GABA),Não foi aprovada alegação de propriedade funcional nem de saúde para o ingrediente,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças."" deve constar na rotulagem do produto.",
Ácido L-aspártico,56-84-8,USP-NF,Fonte do aminoácido Aspartato,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Ácido L-glutâmico,"	
56-86-0",USP-NF,Fonte do aminoácido Ácido L-Glutâmico,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Ácido linoleico,60-33-3,FCC,Fonte de Ácido Linoleico,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,Não há requisitos adicionais,
Ácido nicotínico,59-67-6,"European pharmacopoeia 9.0 

FCC",Fonte de Niacina,"1) Alegação: A niacina contribui para a manutenção da pele. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de niacina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B3"" pode ser usado em substituição ao termo ""niacina"" nas alegações.
2) Alegação: A niacina auxilia na manutenção de mucosas. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de niacina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B3"" pode ser usado em substituição ao termo ""niacina"" nas alegações.
3) Alegação: A niacina auxilia no metabolismo energético.  Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de niacina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B3"" pode ser usado em substituição ao termo ""niacina"" nas alegações.
4) Alegação: A niacina auxilia no metabolismo de proteínas, carboidratos e gorduras.  Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de niacina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B3"" pode ser usado em substituição ao termo ""niacina"" nas alegações.
5) Alegação: Fonte de niacina.  Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de niacina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B3"" pode ser usado em substituição ao termo ""niacina"" nas alegações.
6) Alegação: Alto conteúdo/Rico em/Alto teor de niacina. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de niacina corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018. O termo ""vitamina B3"" pode ser usado em substituição ao termo ""niacina"" nas alegações.",Não há requisitos adicionais,
Ácido Ortosilícico estabilizado em cloreto de colina,10193-36-9 (ácido ortossilícico) e 67-48-1 (cloreto de colina),Para esse constituinte foram aprovadas as especificações do fabricante: Laboratories Magistra As Geneve - Genebra - Suíça,Fonte de Silício,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Ácido Ortosilícico estabilizado em maltodextrina,10193-36-9 (ácido ortossilícico) e 9050-36-6 (maltodextrina),Para esse constituinte foram aprovadas as especificações do fabricante: Orgono Products SL - Espanha.,Fonte de Silício,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência “Este produto não deve ser consumido por gestantes, lactantes e crianças.” deve constar na rotulagem do produto.",
Ácido selenioso,7783-00-8,"USP-NF

The EFSA Journal (2009) 1009, 1-17",Fonte de Selênio,"1) Alegação: O selênio é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de selênio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
2) Alegação: O selênio auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de selênio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: Fonte de selênio. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de selênio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: Alto conteúdo/Rico em/Alto teor de selênio. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de selênio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações., desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Açúcar invertido,8013-17-0,FCC,Fonte de carboidrato,"1) Alegação: Os carboidratos auxiliam na recuperação da função muscular normal após exercícios extenuantes. Requisitos: A alegação é restrita aos suplementos alimentares cuja:
a) quantidade de carboidratos metabolizáveis atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e
b) informação sobre o consumo na dose de 4 g/kg de peso corpóreo, nas primeiras 4 a 6 horas após o exercício extenuante, conste na rotulagem do produto.
 2) Alegação: Auxilia a manutenção do equilíbrio de fluidos e eletrólitos e no desempenho de exercícios físicos de resistência. Restrições: A alegação é restrita aos suplementos alimentares que:
a) forneçam carboidratos como principal fonte de energia;
b) contenham no mínimo 80 kcal/L e no máximo 350 kcal/L;
c) contenham no mínimo 75% da energia derivada de carboidratos metabolizáveis;
d) contenham no mínimo 20 mmol/L (460 mg/L) de sódio (na forma de Na+) e máximo 50 mmol/L (1150 mg/L) de sódio (na forma de Na+); e
e) apresentem osmolalidade entre 200 e 330 mOsml/kg de água. 
3) Alegação: Isotônico: Requisitos: A alegação é restrita aos suplementos alimentares que:
a) forneçam carboidratos como principal fonte de energia;
b) contenham no mínimo 80 kcal/L e no máximo 350 kcal/L;
c) contenham no mínimo 75% da energia derivada de carboidratos metabolizáveis;
d) contenham no mínimo 20 mmol/L (460 mg/L) de sódio (na forma de Na+) e máximo 50 mmol/L (1150 mg/L) de sódio (na forma de Na+); e  e) apresentem osmolalidade entre 270 e 330 mOsml/kg de água.",Não há requisitos adicionais,
Ágar,9002-18-0,"FCC 

 49th JECFA (1997), FNP 52 Add 5, 44th JECFA (1995),  FNP 52 Add 3 (1995), FAO JECFA MONOGRAPHS 1 (2006)

USP-NF",Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Alfa-ciclodextrina,10016-20-3,"FCC

USP-NF",Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
ALFA-GALACTOSIDASE DE ASPERGILLUS NIGER,9025-35-8,"Para esse constituinte foram aprovadas as especificações do fabricante: Amano Enzyme Inc. Nagoya, Japão",Fonte de enzima Alfa-galactosidase de Aspergillus niger,"""A alfa-galactosidase auxilia na digestão de galactoligossacarídeos não digeríveis."" A alegação é restrita aos suplementos alimentares cuja quantidade de alfa-galactosidase atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.","As advertências “Este produto não deve ser consumido por gestantes, lactantes e crianças.” e ""A dose deve ser ajustada às necessidades individuais de suplementação de alfa-galactosidase e ao consumo de alimentos contendo galactooligossacarídeos."" devem constar na rotulagem do produto.",
